epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9266,0.49275,2.32092,1.02602,1,0.83291,0.97458,0.80678,0.60208,1.63956,1.0835,0.000659574,0.000659574,0.000659574
2,77.7592,0.57624,1.45116,1.03424,0.79014,1,0.995,0.94653,0.4841,1.02195,1.09253,0.00129998,0.00129998,0.00129998
3,116.547,0.59684,0.97832,1.03066,0.41157,0.69977,0.60889,0.51848,0.6211,1.89143,1.0739,0.00191399,0.00191399,0.00191399
