epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6617,0.49275,2.32092,1.02602,1,0.83291,0.97458,0.80678,0.60208,1.63956,1.0835,0.000659574,0.000659574,0.000659574
2,77.6961,0.57624,1.45116,1.03424,0.79014,1,0.995,0.94653,0.4841,1.02195,1.09253,0.00129998,0.00129998,0.00129998
3,116.159,0.59684,0.97832,1.03066,0.41157,0.69977,0.60889,0.51848,0.6211,1.89143,1.0739,0.00191399,0.00191399,0.00191399
4,155.234,0.55499,0.735,1.00743,0.99725,1,0.995,0.92027,0.41555,0.54622,0.96369,0.0018812,0.0018812,0.0018812
5,194.573,0.54605,0.63808,1.00731,0.99328,1,0.995,0.91136,0.47466,0.56208,1.08824,0.0018416,0.0018416,0.0018416
6,235.718,0.52493,0.54505,0.99235,0.96209,1,0.995,0.90599,0.40888,0.36112,0.99141,0.001802,0.001802,0.001802
7,273.67,0.48945,0.48016,0.97827,0.99313,1,0.995,0.92988,0.38897,0.39205,0.97193,0.0017624,0.0017624,0.0017624
8,312.572,0.49574,0.48475,0.97879,0.99635,1,0.995,0.94006,0.32768,0.40095,0.90097,0.0017228,0.0017228,0.0017228
9,350.05,0.46538,0.44441,0.96987,0.99419,1,0.995,0.96442,0.2985,0.27007,0.8708,0.0016832,0.0016832,0.0016832
10,388.065,0.49283,0.44486,0.97948,0.99711,1,0.995,0.93753,0.39356,0.30783,0.92679,0.0016436,0.0016436,0.0016436
11,426.62,0.44904,0.38799,0.96245,0.9938,1,0.995,0.94533,0.36398,0.34962,0.93644,0.001604,0.001604,0.001604
12,466.766,0.43617,0.38367,0.94731,0.9947,1,0.995,0.995,0.26378,0.24778,0.85027,0.0015644,0.0015644,0.0015644
13,505.78,0.41065,0.38533,0.94143,0.99675,1,0.995,0.94199,0.34273,0.26944,0.92397,0.0015248,0.0015248,0.0015248
14,543.775,0.42395,0.36476,0.95469,0.99453,1,0.995,0.95584,0.35602,0.29219,0.92405,0.0014852,0.0014852,0.0014852
15,582.997,0.40591,0.36312,0.9592,0.99712,1,0.995,0.9702,0.28328,0.24931,0.8655,0.0014456,0.0014456,0.0014456
16,622.34,0.3941,0.33139,0.92446,0.9964,1,0.995,0.9671,0.29312,0.20958,0.87243,0.001406,0.001406,0.001406
17,661.363,0.37682,0.31438,0.93071,1,0.99673,0.995,0.96515,0.2455,0.23674,0.85369,0.0013664,0.0013664,0.0013664
18,699.328,0.37288,0.31951,0.93136,0.99728,1,0.995,0.98421,0.25811,0.22338,0.85653,0.0013268,0.0013268,0.0013268
19,737.847,0.37935,0.33712,0.92746,0.99426,1,0.995,0.97927,0.25534,0.2527,0.8641,0.0012872,0.0012872,0.0012872
20,776.082,0.37543,0.30841,0.9214,0.9973,1,0.995,0.97869,0.28948,0.21157,0.87007,0.0012476,0.0012476,0.0012476
21,814.424,0.3663,0.30416,0.92202,0.99727,1,0.995,0.98328,0.22628,0.20136,0.84391,0.001208,0.001208,0.001208
22,853.971,0.36075,0.28908,0.92221,0.99723,1,0.995,0.95978,0.30324,0.19511,0.9194,0.0011684,0.0011684,0.0011684
23,893.488,0.3687,0.3043,0.94354,0.99714,1,0.995,0.96429,0.24074,0.23055,0.85821,0.0011288,0.0011288,0.0011288
24,931.518,0.34698,0.30062,0.91572,0.99736,1,0.995,0.96495,0.24838,0.21953,0.87873,0.0010892,0.0010892,0.0010892
25,970.857,0.34322,0.28563,0.91161,0.99402,1,0.995,0.995,0.18978,0.16739,0.82588,0.0010496,0.0010496,0.0010496
26,1008.54,0.34915,0.31868,0.93471,0.99731,1,0.995,0.98572,0.20279,0.16354,0.83617,0.00101,0.00101,0.00101
27,1046,0.31938,0.26834,0.90976,0.99721,1,0.995,0.99119,0.20308,0.18204,0.83674,0.0009704,0.0009704,0.0009704
28,1084.28,0.32788,0.27775,0.90722,0.99732,1,0.995,0.99112,0.20773,0.1715,0.83938,0.0009308,0.0009308,0.0009308
