epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1121.5,0.31316,0.2591,0.91461,0.99676,1,0.995,0.97733,0.22859,0.19279,0.85195,0.0008912,0.0008912,0.0008912
30,1158.01,0.32423,0.2549,0.92216,0.99731,1,0.995,0.995,0.20767,0.18093,0.83193,0.0008516,0.0008516,0.0008516
31,1194.43,0.30376,0.24996,0.90564,0.99731,1,0.995,0.99084,0.18973,0.1697,0.82942,0.000812,0.000812,0.000812
32,1233.01,0.32042,0.25894,0.91766,0.99716,1,0.995,0.99079,0.22238,0.18222,0.84223,0.0007724,0.0007724,0.0007724
33,2117.36,0.28492,0.23385,0.89422,0.9971,1,0.995,0.995,0.16698,0.13767,0.81959,0.0007328,0.0007328,0.0007328
34,2155.93,0.31548,0.24868,0.91645,0.99612,1,0.995,0.995,0.17558,0.16088,0.82005,0.0006932,0.0006932,0.0006932
35,2193.61,0.29668,0.2353,0.90231,0.9973,1,0.995,0.995,0.17007,0.14191,0.81951,0.0006536,0.0006536,0.0006536
36,2231.4,0.28218,0.23159,0.89711,0.9973,1,0.995,0.995,0.15777,0.14441,0.8162,0.000614,0.000614,0.000614
37,2270.81,0.2903,0.24779,0.90355,0.99737,1,0.995,0.995,0.15286,0.142,0.81657,0.0005744,0.0005744,0.0005744
38,2309.25,0.28864,0.22804,0.91057,0.99735,1,0.995,0.995,0.16465,0.14697,0.81863,0.0005348,0.0005348,0.0005348
39,2348.18,0.26675,0.22077,0.89661,1,1,0.995,0.995,0.15971,0.13938,0.81608,0.0004952,0.0004952,0.0004952
40,2385.59,0.26887,0.22317,0.89717,0.99737,1,0.995,0.995,0.16925,0.13634,0.81751,0.0004556,0.0004556,0.0004556
41,2428.53,0.18006,0.16369,0.80604,0.99741,1,0.995,0.995,0.17152,0.13816,0.81769,0.000416,0.000416,0.000416
42,2467.7,0.18322,0.15988,0.7991,1,1,0.995,0.995,0.15311,0.13457,0.81324,0.0003764,0.0003764,0.0003764
43,2506.59,0.17351,0.15531,0.79482,0.99732,1,0.995,0.995,0.17292,0.13312,0.82031,0.0003368,0.0003368,0.0003368
44,2543.46,0.17116,0.14843,0.7958,1,1,0.995,0.995,0.15733,0.13348,0.81443,0.0002972,0.0002972,0.0002972
45,2581.73,0.16219,0.13887,0.79234,1,1,0.995,0.995,0.17446,0.14148,0.82145,0.0002576,0.0002576,0.0002576
46,2620.25,0.15794,0.13749,0.78299,0.99738,1,0.995,0.995,0.15679,0.12217,0.81778,0.000218,0.000218,0.000218
47,2656.94,0.15335,0.13235,0.79764,0.99742,1,0.995,0.99244,0.15493,0.12505,0.81928,0.0001784,0.0001784,0.0001784
48,2694.68,0.14721,0.12654,0.795,1,1,0.995,0.995,0.15123,0.11859,0.81612,0.0001388,0.0001388,0.0001388
49,2734.74,0.14547,0.12283,0.79241,1,1,0.995,0.995,0.15002,0.11293,0.81547,9.92e-05,9.92e-05,9.92e-05
50,2772.94,0.13486,0.11483,0.7736,0.99738,1,0.995,0.995,0.15012,0.12005,0.81745,5.96e-05,5.96e-05,5.96e-05
